ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Crediting Period Start Date,Crediting Period End Date
5068,ARR REWILDING HUB IN GRAN CHACO ARGENTINA,Forest Defense AG,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,278301,Latin America,15-02-2024,14-02-2064
5066,Water Purification System for Safe Drinking Water  (SDW) in Cambodia,Multiple Proponents,Energy demand,,AMS-III.AV.,Under validation,Cambodia,16004,Asia,01-07-2022,30-06-2032
5067,Aeco Peatland Restoration Latvia #1,aeco GmbH,Agriculture Forestry and Other Land Use,WRC,VM0036,Under development,Latvia,4000,Europe,,
5063,Delta Blue Carbon 2,Blue Carbon Singapore Pte Limited,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,Pakistan,2013864,Asia,14-08-2023,13-08-2083
5061,"Ganaderia y Bosques (GANBOS): Combining reforestation and rotational cattle grazing practices to restore degraded pastures in the provinces of Guanacaste, San Jose and Puntarenas in Costa Rica",rePLANET,Agriculture Forestry and Other Land Use,ALM; ARR,VM0042; VM0047,Under validation,Costa Rica,131931,Latin America,,
5057,Xinghua Improved Agriculture Land Management Project,Chongqing Meicun Tech Co.Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,96236,Asia,01-06-2021,31-05-2041
5058,Sakahk Papakititamo (Forest Breathes),Climate Smart Solutions Canada Inc.,Agriculture Forestry and Other Land Use,IFM,VM0034,Under development,Canada,254979,North America,01-01-2022,31-12-2061
5059,ARC Restaura Azuero,"Azuero Reforestacion Colectiva (ARC), S.A.",Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Panama,78176,Latin America,26-06-2023,25-06-2063
5056,15MW FLOATING SOLAR PV PROJECT IN HIMACHAL PRADESH,SJVN Green Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,28601,Asia,,
5053,EASY BREATHE INDIA SMART COOKSTOVE PROGRAM,EVI Green Markets Pte. Ltd.,Energy demand,,VMR0006,Registration requested,India,1541,Asia,29-05-2023,28-05-2030
5054,ETHIOPIA AGROFORESTRY PROJECT ON SMALL-SCALE COFFEE PARCELS,The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Ethiopia,3328,Africa,04-04-2021,03-04-2051
5055,Açaí REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under development,Brazil,248050,Latin America,22-02-2022,21-02-2062
